location,start,end,offset,actual_pop_scale,min_sim_number,min_rmse,cum_case_in_1M,min_rmse_fraction,group_size,gamma,gamma_M,S2A,global_day
Dominican Republic,91.0,440.0,0.0,10.847903999999996,31148.0,271.67306711800245,22704.7547618415,0.011965470227169634,50.0,0.95,0.8811111111111111,0.0125882352941176,91.0
Ecuador,88.0,488.0,0.0,17.64306,52048.0,153.38899254274347,21951.91763787,0.006987498544460959,20.0,0.95,0.8811111111111111,0.0175294117647058,88.0
Egypt,134.0,516.0,0.0,102.33440300000002,40973.0,26.162964368026756,2556.9700152547,0.010232018448374595,3.0,0.7,0.7722222222222221,0.0150588235294117,134.0
El Salvador,128.0,471.0,0.0,6.486201,56699.0,63.15944612704207,10344.8844708944,0.00610537955302863,50.0,0.95,0.1188888888888888,0.0191764705882352,128.0
Equatorial Guinea,115.0,505.0,0.0,1.402985,50692.0,75.25924444516612,5484.021568299,0.013723367697933683,30.0,0.95,0.4455555555555555,0.0175294117647058,115.0
Estonia,75.0,415.0,0.0,1.326539,38853.0,1055.5615707203863,41683.659507937504,0.025323150202764315,3.0,0.3,0.1188888888888888,0.0150588235294117,75.0
Ethiopia,204.0,516.0,0.0,114.963583,36061.0,17.612889962446364,2360.2691645405002,0.007462237878227444,3.0,0.5,0.3366666666666666,0.014235294117647,204.0
Finland,82.0,416.0,0.0,5.540718000000001,49361.0,73.49827800120445,9502.920018669,0.007734283552509452,3.0,0.5,0.1188888888888888,0.0175294117647058,82.0
France,77.0,421.0,0.0,68.15173,13866.0,460.6273323243274,54599.655797439,0.008436451211949456,20.0,0.5,0.99,0.0084705882352941,77.0
Gabon,119.0,516.0,0.0,2.225728,22519.0,195.09658815526754,10946.980044282102,0.01782195522108142,10.0,0.5,0.4455555555555555,0.0109411764705882,119.0
Gambia,207.0,516.0,0.0,2.416664,49932.0,27.95792805305113,2478.6234246879,0.011279619071852959,20.0,0.9,0.2277777777777777,0.0175294117647058,207.0
Georgia,111.0,516.0,0.0,3.989175,16608.0,1238.529723938256,86133.849730834,0.01437912885362292,15.0,0.3,0.7722222222222221,0.0092941176470588,111.0
Germany,77.0,417.0,0.0,83.019213,28556.0,488.66122497648433,28769.4970078793,0.01698539341312263,20.0,0.3,0.1188888888888888,0.0125882352941176,77.0
Ghana,129.0,516.0,0.0,31.072945,19250.0,34.72682308487865,3021.8571171802,0.011491881230070685,3.0,0.3,0.5544444444444444,0.0101176470588235,129.0
Greece,88.0,415.0,0.0,10.423056000000004,10464.0,281.81171449380633,16891.3032799593,0.016683834860046712,50.0,0.5,0.99,0.0076470588235294,88.0
Guatemala,139.0,516.0,0.0,17.915567,37090.0,106.44952900709083,14190.1732722162,0.007501637010699145,50.0,0.95,0.5544444444444444,0.014235294117647,139.0
Guinea,120.0,516.0,0.0,13.132792000000004,27373.0,24.151486794420425,1764.4382093312001,0.013687918719225029,5.0,0.7,0.8811111111111111,0.0117647058823529,120.0
Guinea-Bissau,120.0,516.0,0.0,1.967998,16106.0,22.984544745870686,1913.6198309144002,0.01201102976388356,3.0,0.3,0.6633333333333333,0.0092941176470588,120.0
Guyana,121.0,467.0,0.0,0.786559,56010.0,133.3917736933976,14174.3975976373,0.00941075433890978,3.0,0.5,0.01,0.0191764705882352,121.0
Haiti,149.0,516.0,0.0,11.402533000000002,28268.0,17.71963005651058,1250.423918966,0.014170898195200305,30.0,0.5,0.01,0.0125882352941176,149.0
Honduras,123.0,516.0,0.0,9.904608,46899.0,181.88489858687814,23923.4101945276,0.007602799814404541,50.0,0.95,0.3366666666666666,0.0167058823529411,123.0
Hungary,100.0,416.0,0.0,9.66035,26014.0,705.2003914004724,41107.8273561516,0.017154893283236054,10.0,0.5,0.4455555555555555,0.0117647058823529,100.0
Iceland,66.0,414.0,0.0,0.34125,48892.0,404.4427119224206,17711.3553113553,0.022835220953594658,20.0,0.95,0.99,0.0167058823529411,66.0
India,145.0,461.0,0.0,1371.3305583596566,33949.0,151.03822322165558,9250.8626744324,0.016326933880350003,50.0,0.95,0.6633333333333333,0.0134117647058823,145.0
Indonesia,154.0,471.0,0.0,273.523621,19823.0,62.59828593146345,5810.6828002250995,0.01077296560208698,20.0,0.7,0.6633333333333333,0.0101176470588235,154.0
Iran,71.0,516.0,0.0,83.992953,38335.0,239.38409806595985,34551.6367307624,0.006928299806209432,15.0,0.9,0.99,0.014235294117647,71.0
Iraq,144.0,516.0,0.0,40.222503,43749.0,287.43312307593715,29761.499427323,0.009657884468416762,50.0,0.95,0.4455555555555555,0.0158823529411764,144.0
Ireland,79.0,414.0,0.0,4.937796,38828.0,808.1908315032298,42532.2620152387,0.019001830450815584,50.0,0.7,0.01,0.0150588235294117,79.0
Israel,82.0,363.0,0.0,8.655541,44092.0,744.9482108483926,47054.8288085054,0.01583149338147713,50.0,0.95,0.5544444444444444,0.0158823529411764,82.0
Italy,68.0,419.0,0.0,60.361006,32117.0,493.54656735984486,46700.0665959742,0.010568433908879935,30.0,0.5,0.1188888888888888,0.0134117647058823,68.0
Jamaica,116.0,516.0,0.0,2.961161,23810.0,317.2742942388306,16367.5666402468,0.01938432885061078,3.0,0.5,0.8811111111111111,0.0109411764705882,116.0
Japan,115.0,505.0,0.0,126.166948,31960.0,136.18150581500015,5547.657378539399,0.024547569635753955,10.0,0.5,0.1188888888888888,0.0134117647058823,115.0
Jordan,173.0,470.0,0.0,10.20314,24486.0,694.596046819234,66271.2655123814,0.010481104313444312,50.0,0.9,0.99,0.0109411764705882,173.0
Kazakhstan,112.0,483.0,0.0,18.776707,47133.0,347.4493619523028,19529.9953287868,0.01779055018206634,20.0,0.9,0.4455555555555555,0.0167058823529411,112.0
Kenya,177.0,516.0,0.0,53.7713,22625.0,23.05176784874025,3173.5702874953,0.007263670176006584,20.0,0.7,0.4455555555555555,0.0109411764705882,177.0
"Korea, South",360.0,516.0,990.3626063242998,51.269183,38509.0,6.8119360575223835,1746.9542727061005,0.0038993213296707693,3.0,0.3,0.01,0.0150588235294117,360.0
Kosovo,99.0,516.0,0.0,1.810366,16416.0,601.3000166729105,59102.4135451063,0.010173865678328096,50.0,0.5,0.6633333333333333,0.0092941176470588,99.0
Kuwait,95.0,433.0,0.0,4.270563,49984.0,1148.4920675692942,47276.670546717105,0.02429299809584509,30.0,0.9,0.2277777777777777,0.0175294117647058,95.0
Kyrgyzstan,115.0,516.0,0.0,6.524191,61497.0,269.61753384937964,16025.741735642,0.01682402838489139,20.0,0.95,0.5544444444444444,0.02,115.0
Latvia,84.0,449.0,0.0,1.886202,35313.0,724.768323795255,52417.5035335557,0.013826837886914738,50.0,0.5,0.01,0.014235294117647,84.0
Lebanon,114.0,481.0,0.0,6.825442,17261.0,396.5173854130573,76323.1157777034,0.005195246307395821,10.0,0.5,0.99,0.0092941176470588,114.0
Libya,177.0,516.0,0.0,6.871286999999999,41597.0,630.8299521992642,26949.9731273049,0.02340744271689556,30.0,0.95,0.8811111111111111,0.0150588235294117,177.0
Lithuania,87.0,414.0,0.0,2.722291000000001,35307.0,1402.1666163037446,70463.0768716496,0.019899310086299936,50.0,0.3,0.01,0.014235294117647,87.0
Luxembourg,76.0,425.0,0.0,0.625976,27422.0,898.5738605606161,88038.5190486536,0.01020659900087629,10.0,0.7,0.8811111111111111,0.0117647058823529,76.0
Madagascar,187.0,516.0,0.0,27.691019,9553.0,36.31071542386157,1490.2304606414,0.024365838964419854,10.0,0.3,0.7722222222222221,0.0076470588235294,187.0
Malawi,191.0,516.0,0.0,19.129955,6803.0,52.660592078651256,1794.8291044071,0.02934017057632183,15.0,0.3,0.99,0.0068235294117647,191.0
Malaysia,94.0,503.0,0.0,32.365998000000005,32427.0,326.9350777779799,14662.1772639298,0.022297853306020788,20.0,0.7,0.2277777777777777,0.0134117647058823,94.0
Mali,443.0,516.0,350.2530611825,20.250834,3437.0,1.5361772393470008,354.16237178179995,0.004337494216617236,30.0,0.9,0.99,0.006,443.0
Malta,79.0,396.0,0.0,0.4415389999999999,35208.0,242.47874843145797,40134.620044888405,0.006041635579463779,20.0,0.3,0.01,0.014235294117647,79.0
Mauritania,151.0,516.0,0.0,4.64966,36983.0,46.37389634815829,4192.564617627901,0.011060985477284319,20.0,0.9,0.5544444444444444,0.014235294117647,151.0
Mexico,115.0,456.0,0.0,127.792286,58349.0,206.8211128067049,17519.7351113978,0.011805036519767553,20.0,0.95,0.6633333333333333,0.0191764705882352,115.0
Moldova,92.0,503.0,0.0,4.033963,19510.0,469.0077749399585,62953.97354908799,0.007450010674453336,30.0,0.5,0.5544444444444444,0.0101176470588235,92.0
Monaco,76.0,384.0,0.0,0.0392439999999999,38853.0,1022.8725838162316,30883.7019671796,0.03312014164957452,3.0,0.3,0.1188888888888888,0.0150588235294117,76.0
Mongolia,387.0,445.0,385.6187307292,3.2782920000000004,22851.0,42.24735122335375,1080.3885681935,0.03910384880691107,10.0,0.3,0.5544444444444444,0.0109411764705882,387.0
Montenegro,86.0,464.0,0.0,0.628062,41293.0,1671.9371090969373,148975.7380640764,0.01122288186535324,50.0,0.95,0.7722222222222221,0.0150588235294117,86.0
Morocco,115.0,415.0,0.0,36.910558,36170.0,319.9952261615258,13005.9263801972,0.02460380112936438,10.0,0.7,0.3366666666666666,0.014235294117647,115.0
Mozambique,234.0,516.0,0.0,31.25543499999999,35275.0,42.23224263007206,2264.5661466557003,0.018649153919588712,30.0,0.7,0.01,0.014235294117647,234.0
Namibia,183.0,516.0,0.0,2.540916,52047.0,175.7631937307538,21701.2290056027,0.008099227637539619,20.0,0.95,0.8811111111111111,0.0175294117647058,183.0
Nepal,158.0,463.0,0.0,29.136808,44392.0,240.49134094196282,9567.554551617299,0.02513613480273391,30.0,0.95,0.6633333333333333,0.0158823529411764,158.0
Netherlands,78.0,425.0,0.0,17.747554,19928.0,472.29115663177635,62181.188461237994,0.007595402537637077,50.0,0.7,0.6633333333333333,0.0101176470588235,78.0
Nicaragua,147.0,516.0,0.0,6.624554000000002,24958.0,8.19868070099105,1105.5838627023,0.007415702216339879,10.0,0.3,0.1188888888888888,0.0117647058823529,147.0
Nigeria,314.0,516.0,211.36183463870003,206.13958700000003,15306.0,6.995556464618365,595.4458359326,0.011748434605578818,30.0,0.3,0.3366666666666666,0.0092941176470588,314.0
North Macedonia,87.0,497.0,0.0,2.0833800000000005,57773.0,748.9943953774863,74024.9018421987,0.01011814101387317,3.0,0.7,0.5544444444444444,0.0191764705882352,87.0
Norway,71.0,414.0,0.0,5.421242000000001,10253.0,181.82676541783997,12450.6524519658,0.014603794148083528,10.0,0.3,0.99,0.0076470588235294,71.0
Oman,102.0,482.0,0.0,5.106621999999999,41599.0,977.2145363929785,37259.464279909495,0.02622728359838222,30.0,0.95,0.8811111111111111,0.0150588235294117,102.0
Pakistan,124.0,516.0,0.0,207.831794,9901.0,36.118874896149954,4431.7232809913,0.008150074498349721,10.0,0.3,0.8811111111111111,0.0076470588235294,124.0
Panama,85.0,443.0,0.0,4.314768,13750.0,860.632083955143,81002.0376530093,0.010624820176028863,10.0,0.3,0.99,0.0084705882352941,85.0
Papua New Guinea,415.0,516.0,6.739367166299999,8.947026999999997,36826.0,19.629747380801017,1764.5752829403,0.01112434678790927,5.0,0.7,0.5544444444444444,0.014235294117647,415.0
Paraguay,132.0,516.0,0.0,7.13253,27933.0,618.380409888819,49447.8116460779,0.012505718439369354,30.0,0.9,0.99,0.0117647058823529,132.0
Peru,99.0,492.0,0.0,32.626,57694.0,1091.4878416221268,55920.3396064488,0.01951861968835853,30.0,0.95,0.4455555555555555,0.0191764705882352,99.0
Philippines,132.0,516.0,0.0,109.581085,45678.0,131.98504205631855,11166.4070491727,0.011819830808164664,15.0,0.7,0.01,0.0167058823529411,132.0
Poland,96.0,414.0,0.0,37.846605,25504.0,677.5650108736663,42417.8602017274,0.015973578291110346,50.0,0.3,0.2277777777777777,0.0117647058823529,96.0
Portugal,80.0,416.0,0.0,10.196707,42163.0,1304.0485003381805,77943.6929981414,0.01673064811503448,15.0,0.5,0.01,0.0158823529411764,80.0
Qatar,73.0,432.0,0.0,2.88106,32116.0,2728.3899850342405,57947.075034883,0.04708417091616451,30.0,0.5,0.1188888888888888,0.0134117647058823,73.0
Romania,90.0,413.0,0.0,19.237682,22610.0,612.1458923247176,39816.1275355315,0.015374320161558779,20.0,0.5,0.4455555555555555,0.0109411764705882,90.0
Russia,103.0,454.0,0.0,146.644718,60849.0,382.99858877598905,30535.815139281,0.012542602417163021,30.0,0.95,0.3366666666666666,0.02,103.0
Rwanda,193.0,516.0,0.0,12.952209000000002,16073.0,47.93252412757344,2078.2555315467002,0.023063826079125414,50.0,0.7,0.5544444444444444,0.0092941176470588,193.0
Saint Lucia,156.0,437.0,0.0,0.183629,59511.0,823.5662195102551,21723.1483044617,0.03791191810540204,3.0,0.5,0.01,0.02,156.0
Sao Tome and Principe,125.0,516.0,0.0,0.219161,48438.0,195.70267280732804,10699.896423177399,0.018290146471269576,10.0,0.9,0.8811111111111111,0.0167058823529411,125.0
Saudi Arabia,101.0,439.0,0.0,34.81386699999999,55841.0,368.30695686315994,10984.3298936024,0.033530216265415774,15.0,0.95,0.99,0.0183529411764705,101.0
Senegal,131.0,516.0,0.0,16.74393,9758.0,39.66588102551244,2471.7614084626,0.01604761725371546,50.0,0.3,0.7722222222222221,0.0076470588235294,131.0
Serbia,91.0,401.0,0.0,8.737369999999999,22667.0,929.5071222794099,46089.38387638381,0.020167488564664656,30.0,0.5,0.4455555555555555,0.0109411764705882,91.0
Singapore,85.0,415.0,0.0,5.850342999999999,44392.0,434.34958882929453,10227.0926678999,0.04247048530151695,30.0,0.95,0.6633333333333333,0.0158823529411764,85.0
Slovakia,98.0,414.0,0.0,5.459643,23108.0,474.68175210193795,51809.980982272995,0.009161975030725302,3.0,0.3,0.6633333333333333,0.0109411764705882,98.0
Slovenia,75.0,414.0,0.0,2.078932,38760.0,1628.9968034102023,87355.4305768538,0.018647916822721617,30.0,0.5,0.01,0.0150588235294117,75.0
Somalia,408.0,516.0,215.41753750450005,15.893219,42633.0,3.162070527078848,706.9884269510999,0.004472591638756144,30.0,0.9,0.1188888888888888,0.0158823529411764,408.0
South Africa,398.0,516.0,24454.7321986036,59.30868999999999,59620.0,41.148486090729506,3518.740154267398,0.011694096263637469,10.0,0.7,0.01,0.02,398.0
South Sudan,339.0,516.0,181.7649060469,11.193728999999998,12206.0,12.385209037811434,773.0554223709,0.016021113984075002,50.0,0.3,0.4455555555555555,0.0084705882352941,339.0
Spain,73.0,415.0,0.0,46.93706,20827.0,572.1378972693469,66507.9363726658,0.008602550740162354,15.0,0.7,0.99,0.0101176470588235,73.0
Sri Lanka,191.0,499.0,0.0,21.41325,25518.0,252.8749816306783,6341.6809685591,0.039875071433644556,50.0,0.5,0.2277777777777777,0.0117647058823529,191.0
Sudan,151.0,516.0,0.0,43.84926900000001,12568.0,23.95625764466378,804.7796646278999,0.02976747387838168,50.0,0.5,0.5544444444444444,0.0084705882352941,151.0
Suriname,155.0,477.0,0.0,0.586634,41591.0,364.8123850592115,16690.1338824548,0.021857966366747597,30.0,0.95,0.8811111111111111,0.0150588235294117,155.0
Sweden,75.0,418.0,0.0,10.327589,29811.0,752.9697500741945,61114.5544231088,0.012320628975893828,5.0,0.5,0.5544444444444444,0.0125882352941176,75.0
Switzerland,73.0,409.0,0.0,8.654618,16406.0,919.2084636472086,62478.4363677287,0.01471241146684646,50.0,0.3,0.6633333333333333,0.0092941176470588,73.0
Syria,230.0,516.0,0.0,17.500657,6801.0,23.17879882358125,1398.0617984799,0.016579237662300298,15.0,0.3,0.99,0.0068235294117647,230.0
Thailand,455.0,516.0,312.9084395986,69.799978,37110.0,23.460965667668997,1927.3501461561996,0.012172653585783698,3.0,0.5,0.6633333333333333,0.014235294117647,455.0
Togo,370.0,516.0,349.5854862885,8.278736999999998,46436.0,12.147595294015156,1275.9040056472,0.009520775262284181,20.0,0.9,0.2277777777777777,0.0167058823529411,370.0
Trinidad and Tobago,415.0,514.0,5377.7058230456,1.399491,46313.0,155.87576909230606,10785.3134461029,0.01445259517688188,10.0,0.5,0.2277777777777777,0.0167058823529411,415.0
Tunisia,186.0,502.0,0.0,11.818618,38449.0,350.30193593940214,27631.995551425698,0.012677402733633837,30.0,0.95,0.99,0.014235294117647,186.0
Turkey,89.0,414.0,0.0,84.339067,22256.0,755.3226744502567,30938.9123311027,0.02441335578855936,20.0,0.3,0.3366666666666666,0.0109411764705882,89.0
Uganda,256.0,516.0,0.0,45.741,31553.0,17.432698773091385,1019.2824817996001,0.01710291218025545,5.0,0.3,0.01,0.0134117647058823,256.0
Ukraine,108.0,516.0,0.0,45.901049,35105.0,417.0692866163592,49230.748517316,0.008471723448804822,10.0,0.3,0.01,0.014235294117647,108.0
United Arab Emirates,93.0,371.0,0.0,9.8904,40594.0,101.6879742313938,21910.0339723368,0.004641160043831202,50.0,0.95,0.5544444444444444,0.0150588235294117,93.0
United Kingdom,80.0,381.0,0.0,66.97601499999999,60273.0,1610.4187167948683,49654.2829548757,0.03243262455845688,5.0,0.7,0.2277777777777777,0.02,80.0
Uruguay,92.0,440.0,0.0,3.473727,22258.0,741.3482268143067,20975.1658665174,0.035344093654950254,20.0,0.3,0.3366666666666666,0.0109411764705882,92.0
Uzbekistan,148.0,516.0,0.0,33.469199,12502.0,30.54561044990318,2991.5266272132003,0.010210709867008064,30.0,0.3,0.5544444444444444,0.0084705882352941,148.0
Venezuela,164.0,516.0,0.0,28.435942999999995,36684.0,75.64524167877332,8186.8218683656005,0.00923987878264108,30.0,0.9,0.4455555555555555,0.014235294117647,164.0
Zambia,189.0,516.0,0.0,18.383956,12917.0,99.9466589907484,5170.269119443,0.019331036099241927,50.0,0.5,0.6633333333333333,0.0084705882352941,189.0
Zimbabwe,201.0,509.0,0.0,14.862927,9652.0,48.48961964835878,2602.5829232694,0.018631344736345794,20.0,0.3,0.7722222222222221,0.0076470588235294,201.0
US.Alabama,86.0,414.0,0.0,4.903185000000001,30572.0,1004.3038712372544,98541.458256215,0.010191688747146311,10.0,0.7,0.7722222222222221,0.0125882352941176,86.0
US.Alaska,87.0,395.0,0.0,0.7315449999999999,32106.0,707.8462936693384,73902.4940365937,0.009578111035316885,30.0,0.3,0.1188888888888888,0.0134117647058823,87.0
US.Arizona,88.0,408.0,0.0,7.278717000000003,38383.0,1509.106645193285,108687.5612831217,0.013884814668554322,20.0,0.9,0.99,0.014235294117647,88.0
US.Arkansas,86.0,406.0,0.0,3.017804,48596.0,663.9459370746348,102341.9678680258,0.006487523651399986,30.0,0.95,0.8811111111111111,0.0167058823529411,86.0
US.California,87.0,412.0,0.0,39.512223000000006,44171.0,1382.9163317014454,88362.3277789255,0.01565051947433273,5.0,0.7,0.6633333333333333,0.0158823529411764,87.0
US.Colorado,82.0,403.0,0.0,5.758736,29405.0,722.750938936719,70198.7380564068,0.010295782501901484,3.0,0.3,0.4455555555555555,0.0125882352941176,82.0
US.Connecticut,83.0,404.0,0.0,3.565287,46322.0,962.8057492733157,72749.26254183741,0.013234577446329648,10.0,0.7,0.2277777777777777,0.0167058823529411,83.0
US.Delaware,84.0,411.0,0.0,0.9737639999999996,33585.0,973.9136196947418,85239.3393060331,0.011425635482674485,50.0,0.9,0.5544444444444444,0.0134117647058823,84.0
US.District of Columbia,80.0,402.0,0.0,0.705749,45094.0,743.3816634970834,53324.9072970702,0.013940608641956826,30.0,0.95,0.8811111111111111,0.0158823529411764,80.0
US.Florida,86.0,405.0,0.0,21.477737000000005,37389.0,987.1278059819646,83049.7179474727,0.01188598625471917,30.0,0.9,0.6633333333333333,0.014235294117647,86.0
US.Georgia,85.0,412.0,0.0,10.617423,58934.0,881.3226701921515,91058.536520585,0.009678638641341624,10.0,0.9,0.8811111111111111,0.0191764705882352,85.0
US.Hawaii,88.0,408.0,0.0,1.415872,38443.0,237.05743411237313,19390.1708629028,0.012225649572068006,30.0,0.95,0.99,0.014235294117647,88.0
US.Idaho,87.0,411.0,0.0,1.787065,39422.0,545.0754402424941,93719.5905017445,0.005816024561399978,20.0,0.7,0.2277777777777777,0.0150588235294117,87.0
US.Illinois,83.0,411.0,0.0,12.671820999999998,29261.0,763.0638070199041,91705.3226044804,0.008320823539446591,20.0,0.5,0.3366666666666666,0.0125882352941176,83.0
US.Indiana,87.0,404.0,0.0,6.732218999999999,30811.0,1040.3167818051222,95022.3098802935,0.01094813189782152,3.0,0.5,0.8811111111111111,0.0125882352941176,87.0
US.Iowa,89.0,408.0,0.0,3.15507,51822.0,609.5498305181659,103779.6308798219,0.005873501624071415,3.0,0.7,0.8811111111111111,0.0175294117647058,89.0
US.Kansas,89.0,410.0,0.0,2.913314,26823.0,662.4602641632806,99019.5358275833,0.006690197632483174,20.0,0.7,0.6633333333333333,0.0117647058823529,89.0
US.Kentucky,90.0,408.0,0.0,4.467672999999999,44175.0,615.6044331379896,86152.9033123059,0.007145486796961583,5.0,0.7,0.6633333333333333,0.0158823529411764,90.0
US.Louisiana,80.0,404.0,0.0,4.6487940000000005,56334.0,1122.7251052131528,88584.695299469,0.012674030219528032,50.0,0.9,0.01,0.0191764705882352,80.0
US.Maine,85.0,399.0,0.0,1.3442119999999995,16257.0,551.8522485506788,29727.4537052191,0.01856372409231245,15.0,0.3,0.6633333333333333,0.0092941176470588,85.0
