location,start,end,offset,actual_pop_scale
Thailand,455.0,516.0,312.9084395986,69.799978
Togo,370.0,516.0,349.5854862885,8.278736999999998
Trinidad and Tobago,415.0,514.0,5377.7058230456,1.399491
Tunisia,186.0,502.0,0.0,11.818618
Turkey,89.0,414.0,0.0,84.339067
Uganda,256.0,516.0,0.0,45.741
Ukraine,108.0,516.0,0.0,45.901049
United Arab Emirates,93.0,371.0,0.0,9.8904
United Kingdom,80.0,381.0,0.0,66.97601499999999
Uruguay,92.0,440.0,0.0,3.473727
Uzbekistan,148.0,516.0,0.0,33.469199
Venezuela,164.0,516.0,0.0,28.435942999999995
Zambia,189.0,516.0,0.0,18.383956
Zimbabwe,201.0,509.0,0.0,14.862927
US.Alabama,86.0,414.0,0.0,4.903185000000001
US.Alaska,87.0,395.0,0.0,0.7315449999999999
US.Arizona,88.0,408.0,0.0,7.278717000000003
US.Arkansas,86.0,406.0,0.0,3.017804
US.California,87.0,412.0,0.0,39.512223000000006
US.Colorado,82.0,403.0,0.0,5.758736
US.Connecticut,83.0,404.0,0.0,3.565287
US.Delaware,84.0,411.0,0.0,0.9737639999999996
US.District of Columbia,80.0,402.0,0.0,0.705749
US.Florida,86.0,405.0,0.0,21.477737000000005
US.Georgia,85.0,412.0,0.0,10.617423
US.Hawaii,88.0,408.0,0.0,1.415872
US.Idaho,87.0,411.0,0.0,1.787065
US.Illinois,83.0,411.0,0.0,12.671820999999998
US.Indiana,87.0,404.0,0.0,6.732218999999999
US.Iowa,89.0,408.0,0.0,3.15507
US.Kansas,89.0,410.0,0.0,2.913314
US.Kentucky,90.0,408.0,0.0,4.467672999999999
US.Louisiana,80.0,404.0,0.0,4.6487940000000005
US.Maine,85.0,399.0,0.0,1.3442119999999995
US.Maryland,87.0,408.0,0.0,6.04568
US.Massachusetts,77.0,407.0,0.0,6.8925030000000005
US.Michigan,82.0,405.0,0.0,9.986857
US.Minnesota,90.0,409.0,0.0,5.639632000000001
US.Mississippi,84.0,409.0,0.0,2.976149
US.Missouri,86.0,410.0,0.0,6.137428000000001
US.Montana,87.0,403.0,0.0,1.0687780000000002
US.Nebraska,92.0,402.0,0.0,1.934408
US.Nevada,85.0,412.0,0.0,3.080156
US.New Hampshire,86.0,404.0,0.0,1.359711
US.New Jersey,80.0,408.0,0.0,8.882190000000001
US.New Mexico,89.0,400.0,0.0,2.096829
US.New York,78.0,405.0,0.0,19.453561000000004
US.North Carolina,88.0,408.0,0.0,10.488084
US.North Dakota,88.0,399.0,0.0,0.762062
US.Ohio,88.0,409.0,0.0,11.6891
US.Oklahoma,89.0,404.0,0.0,3.956971000000001
US.Oregon,88.0,404.0,0.0,4.217736999999999
US.Pennsylvania,86.0,410.0,0.0,12.801989
US.Rhode Island,83.0,405.0,0.0,1.059361
US.South Carolina,87.0,411.0,0.0,5.148714
US.South Dakota,89.0,397.0,0.0,0.8846589999999999
US.Tennessee,84.0,400.0,0.0,6.829174
US.Texas,90.0,408.0,0.0,28.995881
US.Utah,85.0,404.0,0.0,3.2059579999999994
US.Vermont,83.0,400.0,0.0,0.623989
US.Virginia,89.0,410.0,0.0,8.535519
US.Washington,76.0,409.0,0.0,7.614892999999999
US.West Virginia,92.0,395.0,0.0,1.7921470000000006
US.Wisconsin,85.0,408.0,0.0,5.822434000000001
US.Wyoming,87.0,408.0,0.0,0.5787590000000001
