location,population,country,d0,c0,d1,c1,d2,c2,d3,c3,d4,c4,d5,c5,days_since_1Jan2020
France,68151730.0,France,0,100,82,2691.01,165,3612.23,248,24052.73,331,45726.72,414,78508.95,60.0
Gabon,2225728.0,Gabon,0,100,73,2423.48,146,3873.34,219,4102.48,292,5000.16,366,9820.61,108.0
Gambia,2416664.0,Gambia,0,100,54,1396.97,108,1523.17,163,1571.17,217,1884.42,272,2366.9,202.0
Georgia,3989175.0,Georgia,0,100,76,216.59,153,368.25,230,19973.55,307,64702.85,384,74039.87,90.0
Germany,83019213.0,Germany,0,100,82,2164.68,165,2677.46,247,6951.78,330,25953.7,413,38009.54,61.0
Ghana,31072945.0,Ghana,0,100,77,333.34,155,1414.38,232,1609.7,310,2105.59,388,2951.41,86.0
Greece,10423056.0,Greece,0,100,80,279.96,160,761.2,240,5439.67,320,14782.9,401,30247.65,73.0
Guatemala,17915567.0,Guatemala,0,100,74,811.58,149,4336.06,223,6534.32,298,8947.47,373,11874.25,101.0
Guinea,13132792.0,Guinea,0,100,75,368.62,151,721.78,227,963.54,303,1108.29,379,1634.08,95.0
Guinea-Bissau,1967998.0,Guinea-Bissau,0,100,70,909.55,141,1156.0,212,1230.69,283,1408.54,354,1886.18,120.0
Guyana,786559.0,Guyana,0,100,68,406.84,137,3278.84,205,6894.59,274,10200.12,343,15082.15,131.0
Haiti,11402533.0,Haiti,0,100,69,589.96,138,754.22,208,813.15,277,1035.38,347,1132.91,127.0
Honduras,9904608.0,Honduras,0,100,77,894.33,154,6075.35,231,10409.5,308,14926.69,385,20287.02,89.0
Hungary,9660350.0,Hungary,0,100,78,414.89,157,539.84,235,12718.28,314,37773.89,393,77689.52,81.0
Iceland,341250.0,Iceland,0,100,80,5292.31,160,5963.37,241,14880.59,321,17582.42,402,18420.51,72.0
India,1371336863.0,India,0,100,80,151.09,160,2169.93,240,6265.22,320,7817.22,400,10983.3,74.0
Indonesia,273523621.0,Indonesia,0,100,79,100.72,159,546.23,239,1610.72,319,3794.89,399,5865.48,75.0
Iran,83992953.0,Iran,0,100,83,1483.49,166,3915.14,250,7486.1,333,16346.34,417,26634.25,57.0
Iraq,40222503.0,Iraq,0,100,80,170.75,160,4793.26,240,12394.78,320,15321.25,401,24294.24,73.0
Ireland,4937796.0,Ireland,0,100,80,5076.35,160,5620.93,240,13297.23,320,39014.37,400,49315.12,74.0
Israel,8655541.0,Israel,0,100,80,1984.74,160,11534.35,240,36903.18,320,71814.11,401,96706.49,73.0
Italy,60361006.0,Italy,0,100,84,3734.78,168,4151.12,252,11751.54,336,40867.66,420,64116.41,54.0
Jamaica,2961161.0,Jamaica,0,100,73,233.02,147,1160.69,220,3458.1,294,5427.94,368,14821.89,106.0
Japan,126166948.0,Japan,0,100,84,127.99,168,362.73,253,803.12,337,2868.64,422,4242.16,52.0
Jordan,10203140.0,Jordan,0,100,78,81.45,156,168.18,235,12945.62,313,31856.17,392,67231.56,82.0
Kazakhstan,18776707.0,Kazakhstan,0,100,77,738.79,155,6849.87,232,8460.11,310,12492.55,388,18192.7,86.0
Kenya,53771300.0,Kenya,0,100,76,75.21,152,638.17,228,1316.76,304,1874.1,381,2820.33,93.0
"Korea, South",51269183.0,"Korea, South",0,100,84,214.9,169,284.03,253,517.09,338,1464.51,423,2236.16,51.0
Kosovo,1810366.0,Kosovo,0,100,76,820.83,153,7431.65,229,16083.49,306,33262.89,383,55895.33,91.0
Kuwait,4270563.0,Kuwait,0,100,80,6708.48,160,18561.72,240,31021.2,320,38273.64,400,60176.37,74.0
Kyrgyzstan,6524191.0,Kyrgyzstan,0,100,76,378.9,153,6728.5,229,10266.87,306,12965.29,383,14083.43,91.0
Latvia,1886202.0,Latvia,0,100,78,575.76,157,708.83,236,4690.91,315,34419.96,394,59025.49,80.0
Lebanon,6825442.0,Lebanon,0,100,79,181.97,159,1696.59,239,13970.52,319,42950.63,399,74779.48,75.0
Lesotho,2142252.0,Lesotho,0,100,56,506.48,113,911.66,169,1272.03,226,4883.18,283,4998.95,191.0
Libya,6871287.0,Libya,0,100,65,537.16,130,5448.32,195,12882.88,260,18465.39,325,25014.24,149.0
Liechtenstein,38137.0,Liechtenstein,0,100,47,3723.42,94,31675.28,142,62144.37,189,67519.73,237,73760.39,237.0
Lithuania,2722291.0,Lithuania,0,100,78,630.35,156,987.4,235,10935.27,313,66495.1,392,85821.46,82.0
